Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.39     0.00       10     0.00     0.00  std::vector<Connection*, std::allocator<Connection*> >::size() const
  0.00      0.39     0.00        8     0.00     0.00  double_to_tv(double, timeval*)
  0.00      0.39     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Operation>::~new_allocator()
  0.00      0.39     0.00        8     0.00     0.00  std::allocator<Operation>::~allocator()
  0.00      0.39     0.00        8     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Operation*>(Operation*, Operation*)
  0.00      0.39     0.00        8     0.00     0.00  Connection* const&&& std::forward<Connection* const&>(std::remove_reference<Connection* const&>::type&)
  0.00      0.39     0.00        8     0.00     0.00  void std::_Destroy<Operation*>(Operation*, Operation*)
  0.00      0.39     0.00        8     0.00     0.00  void std::_Destroy<Operation*, Operation>(Operation*, Operation*, std::allocator<Operation>&)
  0.00      0.39     0.00        7     0.00     0.00  Connection::timer_callback()
  0.00      0.39     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Operation>::new_allocator()
  0.00      0.39     0.00        7     0.00     0.00  std::allocator<Operation>::allocator()
  0.00      0.39     0.00        6     0.00     0.00  LogHistogramSampler::sample(double)
  0.00      0.39     0.00        6     0.00     1.67  LogHistogramSampler::LogHistogramSampler(int)
  0.00      0.39     0.00        6     0.00     0.00  LogHistogramSampler::~LogHistogramSampler()
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::deallocate(Operation**, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::allocate(unsigned long, void const*)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >::__normal_iterator(Operation const* const&)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::difference_type __gnu_cxx::operator-<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Connection*>::max_size() const
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::max_size() const
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >::base() const
  0.00      0.39     0.00        6     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_M_check_len(unsigned long, char const*) const
  0.00      0.39     0.00        6     0.00     0.00  std::allocator<unsigned long>::allocator()
